sample_id,year,region,class_id,label_source,longitude,latitude,spatial_block,split
1,2022,jiangxi,0,official_product,116.3548710805157,28.597372996538702,2327_571,source_train
3,2022,jiangxi,0,official_product,116.30016367971282,28.497570168473025,2326_569,source_val
4,2022,jiangxi,0,official_product,116.33403016592412,28.69232492207013,2326_573,source_train
8,2022,jiangxi,0,official_product,116.39188167022142,28.58407793033373,2327_571,source_train
10,2022,jiangxi,0,official_product,116.08780194654696,28.370728050355343,2321_567,source_train
12,2022,jiangxi,0,official_product,116.42341253669402,28.518950072235068,2328_570,source_train
13,2022,jiangxi,0,official_product,116.30914683255402,28.72951517483268,2326_574,source_test
14,2022,jiangxi,0,official_product,116.185718312516,28.46550031282996,2323_569,source_test
15,2022,jiangxi,0,official_product,116.36717799990814,28.410343754385018,2327_568,source_train
17,2022,jiangxi,0,official_product,116.5006676511283,28.36686529463363,2330_567,source_train
20,2022,jiangxi,0,official_product,116.45799767513262,28.40827762923154,2329_568,source_val
22,2022,jiangxi,0,official_product,116.2773464714962,28.615429133749505,2325_572,source_test
26,2022,jiangxi,0,official_product,116.45898582194516,28.503678712405037,2329_570,source_train
27,2022,jiangxi,0,official_product,116.5277069411803,28.399653802503995,2330_567,source_train
28,2022,jiangxi,0,official_product,116.31184177840638,28.676334910012805,2326_573,source_train
29,2022,jiangxi,0,official_product,116.37472384829474,28.687294356479065,2327_573,source_train
31,2022,jiangxi,0,official_product,116.381101886812,28.441515294743965,2327_568,source_train
33,2022,jiangxi,0,official_product,116.31480621884396,28.48508358602376,2326_569,source_val
34,2022,jiangxi,0,official_product,116.36223726584548,28.442413610028083,2327_568,source_train
36,2022,jiangxi,0,official_product,116.34633708531656,28.59728316501029,2326_571,source_train
37,2022,jiangxi,0,official_product,116.27842444983712,28.654955006250763,2325_573,source_train
39,2022,jiangxi,0,official_product,116.17421987687926,28.445647545050917,2323_568,source_val
40,2022,jiangxi,0,official_product,116.334658986623,28.60833244300496,2326_572,source_train
41,2022,jiangxi,0,official_product,116.3548710805157,28.55631998805444,2327_571,source_train
42,2022,jiangxi,0,official_product,116.22452553278995,28.49595320096161,2324_569,source_train
44,2022,jiangxi,0,official_product,116.32055543666232,28.620010541698512,2326_572,source_train
46,2022,jiangxi,0,official_product,116.0654338959724,28.461368062523004,2321_569,source_test
48,2022,jiangxi,0,official_product,116.27869394442236,28.563955667969456,2325_571,source_train
49,2022,jiangxi,0,official_product,116.3397793837425,28.493976907336545,2326_569,source_val
51,2022,jiangxi,0,official_product,116.34445062321991,28.640941287818496,2326_572,source_train
52,2022,jiangxi,0,official_product,116.47057408911029,28.58542540325991,2329_571,source_train
54,2022,jiangxi,0,official_product,116.37571199510728,28.74191192575353,2327_574,source_test
55,2022,jiangxi,0,official_product,116.36672884226608,28.743528893264948,2327_574,source_test
57,2022,jiangxi,0,official_product,116.36079996139088,28.470890204534676,2327_569,source_train
58,2022,jiangxi,0,official_product,116.1955997806413,28.443042430726965,2323_568,source_val
62,2022,jiangxi,0,official_product,116.05609141701754,28.459122274312705,2321_569,source_test
63,2022,jiangxi,0,official_product,116.3450794439188,28.57527444054936,2326_571,source_train
64,2022,jiangxi,0,official_product,116.18095724151016,28.47214784593244,2323_569,source_test
67,2022,jiangxi,0,official_product,116.4067937039378,28.72017269587784,2328_574,source_train
68,2022,jiangxi,0,official_product,116.3781374463744,28.633036113318244,2327_572,source_train
71,2022,jiangxi,0,official_product,116.37840694095964,28.65100241900064,2327_573,source_train
72,2022,jiangxi,0,official_product,116.34382180252103,28.72987450094633,2326_574,source_test
