representation,method,regime,seed,budget,split,trees,n,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,error_rate,ece,brier,auroc,auprc
temporal_reconstructed,source_only,none,42,0,target_val,500,2751,0.7701212789415656,0.8607516943930992,0.8129182426534769,0.7455354216646347,711,417,226,1397,0.2337331879316612,0.10980665546206944,0.19050237908848278,0.7598555559925364,0.7863237542189357
temporal_reconstructed,coral,none,42,0,target_val,500,2751,0.7177191328934966,0.9383857054836722,0.8133511348464619,0.703678668344673,529,599,100,1523,0.25408942202835333,0.08586088771469344,0.19049975071458172,0.7273190571701996,0.7320242617453583
temporal_reconstructed,importance,none,42,0,target_val,500,2751,0.7713815789473685,0.866913123844732,0.8163620539599652,0.7486161363904511,711,417,216,1407,0.2300981461286805,0.0996116235354595,0.18668932224381435,0.7695324960780972,0.7960864758709438
temporal_reconstructed,pseudo_label,none,42,0,target_val,500,2751,0.7648663393344245,0.8638324091189156,0.8113425925925926,0.7408701052686777,697,431,221,1402,0.23700472555434388,0.1137187619532169,0.19230252919876842,0.7676938993108814,0.8076844321413849
temporal_reconstructed,target_full,none,42,9249,target_val,500,2751,0.9070234113712374,0.8354898336414048,0.8697883258499037,0.8561314416433974,989,139,267,1356,0.1475826972010178,0.055635561363295054,0.10391934617443646,0.930473075427258,0.940600231127811
temporal_reconstructed,source_only,none,43,0,target_val,500,2751,0.7724288840262582,0.8699938385705484,0.8183135323094756,0.7505997561647069,712,416,211,1412,0.22791712104689205,0.10750374211547233,0.18782928235609614,0.7690518171847075,0.7989209640966294
temporal_reconstructed,coral,none,43,0,target_val,500,2751,0.7167684358853922,0.940234134319162,0.8134328358208955,0.7028298331170278,525,603,97,1526,0.2544529262086514,0.08739106387888983,0.1908895481378281,0.7252832728114909,0.7306870272235553
temporal_reconstructed,importance,none,43,0,target_val,500,2751,0.7685541506322155,0.8613678373382625,0.8123184195235328,0.7440704434918263,707,421,225,1398,0.23482370047255544,0.09623699023118389,0.18757827207430916,0.7686678202960108,0.797204586404757
temporal_reconstructed,pseudo_label,none,43,0,target_val,500,2751,0.7659227000544366,0.866913123844732,0.8132947976878613,0.7428537250429333,698,430,216,1407,0.23482370047255544,0.10041254563483643,0.18703900781018246,0.7798239404307757,0.8222697871105509
temporal_reconstructed,target_full,none,43,9249,target_val,500,2751,0.9048257372654156,0.8317929759704251,0.8667736757624398,0.852953225573865,986,142,273,1350,0.15085423482370047,0.05513100330901518,0.1040516138967887,0.9304080745314474,0.9403576483851698
temporal_reconstructed,source_only,none,44,0,target_val,500,2751,0.7699504678040726,0.8619839802834257,0.8133720930232559,0.7457083021984505,710,418,224,1399,0.23336968375136313,0.1119943261011831,0.1920649315672391,0.7593218931756706,0.7870561138738037
temporal_reconstructed,coral,none,44,0,target_val,500,2751,0.7155618241654913,0.937769562538509,0.8117333333333333,0.7007110224040063,523,605,101,1522,0.25663395129043987,0.07836315047164577,0.19019674971330927,0.7311284374003139,0.7377905096228474
temporal_reconstructed,importance,none,44,0,target_val,500,2751,0.7698237885462555,0.8613678373382625,0.813027042744984,0.7454002307258689,710,418,225,1398,0.2337331879316612,0.1116843099529982,0.19100751141497807,0.7603903112614326,0.7904005465157955
temporal_reconstructed,pseudo_label,none,44,0,target_val,500,2751,0.7412658227848101,0.9020332717190388,0.8137854363535297,0.7245095436609379,617,511,159,1464,0.2435478007997092,0.10769465666959853,0.1932143062301288,0.7736138968637887,0.8133521760042894
temporal_reconstructed,target_full,none,44,9249,target_val,500,2751,0.9049531459170014,0.8330252618607517,0.8675008020532563,0.8535693685190283,986,142,271,1352,0.15012722646310434,0.0532378013992851,0.10399144902136392,0.9305528244254795,0.9404290748807552
temporal_reconstructed,source_only,none,45,0,target_val,500,2751,0.7675054704595186,0.8644485520640789,0.8130976528542452,0.7438377512093444,703,425,220,1403,0.23446019629225737,0.11252007627327676,0.19082681136944563,0.760444933862954,0.786237458499965
temporal_reconstructed,coral,none,45,0,target_val,500,2751,0.7152941176470589,0.9365372766481824,0.8110992529348986,0.700094879458843,523,605,103,1520,0.257360959651036,0.09215002579257334,0.19248611531179094,0.7218283932652517,0.7340296597080618
temporal_reconstructed,importance,none,45,0,target_val,500,2751,0.7728516694033936,0.8699938385705484,0.8185507246376812,0.7510430185760544,713,415,211,1412,0.22755361686659398,0.10823528340133375,0.1871993113112805,0.7700918315176781,0.7983666551492453
temporal_reconstructed,pseudo_label,none,45,0,target_val,500,2751,0.7605479452054794,0.8552064078866297,0.8051044083526682,0.7338975301844496,691,437,235,1388,0.24427480916030533,0.117958786312551,0.19441000963058233,0.763622876819479,0.8095344173667073
