requested_coverage,n_accepted,coverage,risk,accuracy,f1_expected_counts,representation,score
0.5,1376,0.500181752090149,0.2914244186046512,0.7085755813953488,0.7603108188882247,temporal_reconstructed,euclidean_nn
0.7,1926,0.7001090512540894,0.26895119418483904,0.731048805815161,0.7998454404945904,temporal_reconstructed,euclidean_nn
0.8,2201,0.8000727008360596,0.2685143116765107,0.7314856883234893,0.8042398145081153,temporal_reconstructed,euclidean_nn
0.9,2476,0.9000363504180298,0.25848142164781907,0.7415185783521809,0.812206572769953,temporal_reconstructed,euclidean_nn
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,euclidean_nn
0.5,1376,0.500181752090149,0.2449127906976744,0.7550872093023255,0.7674258109040718,temporal_reconstructed,cosine_nn
0.7,1926,0.7001090512540894,0.2481827622014538,0.7518172377985461,0.7825295723384895,temporal_reconstructed,cosine_nn
0.8,2201,0.8000727008360596,0.25124943207632894,0.748750567923671,0.7854093907644548,temporal_reconstructed,cosine_nn
0.9,2476,0.9000363504180298,0.24636510500807754,0.7536348949919225,0.7976111479761114,temporal_reconstructed,cosine_nn
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,cosine_nn
0.5,1376,0.500181752090149,0.24345930232558138,0.7565406976744187,0.7684865238424327,temporal_reconstructed,cosine_knn
0.7,1926,0.7001090512540894,0.2533748701973001,0.7466251298026999,0.7775752051048314,temporal_reconstructed,cosine_knn
0.8,2201,0.8000727008360596,0.2521581099500227,0.7478418900499773,0.785796989579313,temporal_reconstructed,cosine_knn
0.9,2476,0.9000363504180298,0.24838449111470112,0.7516155088852989,0.7960199004975125,temporal_reconstructed,cosine_knn
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,cosine_knn
0.5,1376,0.500181752090149,0.28851744186046513,0.7114825581395349,0.7635497319833234,temporal_reconstructed,mahalanobis
0.7,1926,0.7001090512540894,0.26947040498442365,0.7305295950155763,0.7989151491669896,temporal_reconstructed,mahalanobis
0.8,2201,0.8000727008360596,0.27033166742389825,0.7296683325761018,0.8023912321487878,temporal_reconstructed,mahalanobis
0.9,2476,0.9000363504180298,0.25848142164781907,0.7415185783521809,0.8123167155425219,temporal_reconstructed,mahalanobis
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,mahalanobis
0.5,1376,0.500181752090149,0.2921511627906977,0.7078488372093024,0.7607142857142857,temporal_reconstructed,centroid
0.7,1926,0.7001090512540894,0.26947040498442365,0.7305295950155763,0.7993815229996134,temporal_reconstructed,centroid
0.8,2201,0.8000727008360596,0.2676056338028169,0.7323943661971831,0.8051604366523322,temporal_reconstructed,centroid
0.9,2476,0.9000363504180298,0.25848142164781907,0.7415185783521809,0.8123167155425219,temporal_reconstructed,centroid
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,centroid
0.5,1376,0.500181752090149,0.22529069767441862,0.7747093023255813,0.8378661087866108,temporal_reconstructed,entropy
0.7,1926,0.7001090512540894,0.21599169262720663,0.7840083073727934,0.8360914105594957,temporal_reconstructed,entropy
0.8,2201,0.8000727008360596,0.21444797819173103,0.785552021808269,0.8328611898016998,temporal_reconstructed,entropy
0.9,2476,0.9000363504180298,0.21890145395799676,0.7810985460420032,0.8258354755784062,temporal_reconstructed,entropy
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,entropy
0.5,1376,0.500181752090149,0.22529069767441862,0.7747093023255813,0.8378661087866108,temporal_reconstructed,confidence
0.7,1926,0.7001090512540894,0.21599169262720663,0.7840083073727934,0.8360914105594957,temporal_reconstructed,confidence
0.8,2201,0.8000727008360596,0.21444797819173103,0.785552021808269,0.8328611898016998,temporal_reconstructed,confidence
0.9,2476,0.9000363504180298,0.21890145395799676,0.7810985460420032,0.8258354755784062,temporal_reconstructed,confidence
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,confidence
0.5,1376,0.500181752090149,0.22529069767441862,0.7747093023255813,0.8378661087866108,temporal_reconstructed,margin
0.7,1926,0.7001090512540894,0.21599169262720663,0.7840083073727934,0.8360914105594957,temporal_reconstructed,margin
0.8,2201,0.8000727008360596,0.21444797819173103,0.785552021808269,0.8328611898016998,temporal_reconstructed,margin
0.9,2476,0.9000363504180298,0.21890145395799676,0.7810985460420032,0.8258354755784062,temporal_reconstructed,margin
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,margin
0.5,1376,0.500181752090149,0.22533344733242133,0.7746665526675787,0.8203170274416226,temporal_reconstructed,vote_uncertainty
0.7,1926,0.7001090512540894,0.2130180307750401,0.7869819692249599,0.8251927024828601,temporal_reconstructed,vote_uncertainty
0.8,2201,0.8000727008360596,0.21462466555606036,0.7853753344439396,0.8228283291313315,temporal_reconstructed,vote_uncertainty
0.9,2476,0.9000363504180298,0.2251259146631189,0.7748740853368811,0.8152034010686844,temporal_reconstructed,vote_uncertainty
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,vote_uncertainty
0.5,1376,0.500181752090149,0.2180232558139535,0.7819767441860466,0.8443983402489627,temporal_reconstructed,tree_variance
0.7,1926,0.7001090512540894,0.2082035306334372,0.7917964693665628,0.8430528375733856,temporal_reconstructed,tree_variance
0.8,2201,0.8000727008360596,0.20763289413902772,0.7923671058609723,0.838914346140289,temporal_reconstructed,tree_variance
0.9,2476,0.9000363504180298,0.21405492730210016,0.7859450726978998,0.8321722609246358,temporal_reconstructed,tree_variance
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,tree_variance
0.5,1376,0.500181752090149,0.2618238744355532,0.7381761255644468,0.7844230165414883,temporal_reconstructed,domain_probability
0.7,1926,0.7001090512540894,0.2457745538598093,0.7542254461401907,0.8009004199945613,temporal_reconstructed,domain_probability
0.8,2201,0.8000727008360596,0.2407577739615304,0.7592422260384696,0.8059425498610557,temporal_reconstructed,domain_probability
0.9,2476,0.9000363504180298,0.23685538378217455,0.7631446162178255,0.8098298259367068,temporal_reconstructed,domain_probability
1.0,2751,1.0,0.2337331879316612,0.7662668120683388,0.8129182426534769,temporal_reconstructed,domain_probability
0.5,1376,0.500181752090149,0.07412790697674419,0.9258720930232558,0.9509615384615384,alphaearth,euclidean_nn
0.7,1926,0.7001090512540894,0.12305295950155763,0.8769470404984424,0.9195246179966045,alphaearth,euclidean_nn
0.8,2201,0.8000727008360596,0.1640163562017265,0.8359836437982735,0.8899725693386162,alphaearth,euclidean_nn
0.9,2476,0.9000363504180298,0.19103392568659128,0.8089660743134087,0.8670227719988755,alphaearth,euclidean_nn
1.0,2751,1.0,0.22791712104689205,0.772082878953108,0.8336428760944548,alphaearth,euclidean_nn
0.5,1376,0.500181752090149,0.06177325581395349,0.9382267441860466,0.9597347228801516,alphaearth,cosine_nn
0.7,1926,0.7001090512540894,0.12201453790238836,0.8779854620976116,0.9205812774586009,alphaearth,cosine_nn
0.8,2201,0.8000727008360596,0.1599273057701045,0.8400726942298955,0.8928788800973828,alphaearth,cosine_nn
