representation,score,pool_quantile,actual_coverage,n,risk,f1
temporal_reconstructed,euclidean_nn,0.5,0.43584151217739003,1199,0.3119266055045872,0.7297687861271677
temporal_reconstructed,euclidean_nn,0.7,0.648854961832061,1785,0.27675070028011206,0.7899659863945578
temporal_reconstructed,euclidean_nn,0.8,0.7662668120683388,2108,0.2656546489563567,0.8051496172581768
temporal_reconstructed,euclidean_nn,0.9,0.8942202835332607,2460,0.2601626016260163,0.8117647058823529
temporal_reconstructed,euclidean_nn,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,cosine_nn,0.5,0.48455107233733186,1333,0.245311327831958,0.7682494684620836
temporal_reconstructed,cosine_nn,0.7,0.6652126499454744,1830,0.25136612021857924,0.7762645914396887
temporal_reconstructed,cosine_nn,0.8,0.7546346782988005,2076,0.25337186897880537,0.7804674457429048
temporal_reconstructed,cosine_nn,0.9,0.8487822609960014,2335,0.24796573875803,0.7928443649373882
temporal_reconstructed,cosine_nn,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,cosine_knn,0.5,0.480189022173755,1321,0.24451173353520061,0.7637161667885881
temporal_reconstructed,cosine_knn,0.7,0.6623046165030898,1822,0.2513721185510428,0.776803118908382
temporal_reconstructed,cosine_knn,0.8,0.7604507451835696,2092,0.2538240917782027,0.7810309278350516
temporal_reconstructed,cosine_knn,0.9,0.8491457651762996,2336,0.24914383561643835,0.7922912205567452
temporal_reconstructed,cosine_knn,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,mahalanobis,0.5,0.4347509996364958,1196,0.3093645484949833,0.7338129496402878
temporal_reconstructed,mahalanobis,0.7,0.6470374409305707,1780,0.27584269662921346,0.7909748829289059
temporal_reconstructed,mahalanobis,0.8,0.7669938204289349,2110,0.2682464454976303,0.8031988873435327
temporal_reconstructed,mahalanobis,0.9,0.8916757542711741,2453,0.26049735018344883,0.8115600117959304
temporal_reconstructed,mahalanobis,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,centroid,0.5,0.43293347873500543,1191,0.31150293870696893,0.7329013678905687
temporal_reconstructed,centroid,0.7,0.653217011995638,1797,0.2760155815247635,0.7910699241786016
temporal_reconstructed,centroid,0.8,0.7637222828062523,2101,0.26653974297953353,0.8044692737430168
temporal_reconstructed,centroid,0.9,0.8953107960741549,2463,0.25984571660576533,0.8119858989424207
temporal_reconstructed,centroid,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,entropy,0.5,0.5416212286441294,1490,0.22416107382550335,0.8361138370951914
temporal_reconstructed,entropy,0.7,0.7255543438749545,1996,0.21492985971943887,0.8355691835952472
temporal_reconstructed,entropy,0.8,0.8240639767357325,2267,0.21438023820026467,0.8320663441603318
temporal_reconstructed,entropy,0.9,0.9189385677935297,2528,0.2219145569620253,0.8236403646651996
temporal_reconstructed,entropy,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,confidence,0.5,0.5416212286441294,1490,0.22416107382550335,0.8361138370951914
temporal_reconstructed,confidence,0.7,0.7255543438749545,1996,0.21492985971943887,0.8355691835952472
temporal_reconstructed,confidence,0.8,0.8240639767357325,2267,0.21438023820026467,0.8320663441603318
temporal_reconstructed,confidence,0.9,0.9189385677935297,2528,0.2219145569620253,0.8236403646651996
temporal_reconstructed,confidence,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,margin,0.5,0.5416212286441294,1490,0.22416107382550335,0.8361138370951914
temporal_reconstructed,margin,0.7,0.7255543438749545,1996,0.21492985971943887,0.8355691835952472
temporal_reconstructed,margin,0.8,0.8240639767357325,2267,0.21438023820026467,0.8320663441603318
temporal_reconstructed,margin,0.9,0.9189385677935297,2528,0.2219145569620253,0.8236403646651996
temporal_reconstructed,margin,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,vote_uncertainty,0.5,0.5398037077426391,1485,0.2228956228956229,0.8209843158464034
temporal_reconstructed,vote_uncertainty,0.7,0.7364594692838967,2026,0.21174728529121423,0.8256806176351077
temporal_reconstructed,vote_uncertainty,0.8,0.8298800436205016,2283,0.21857205431449847,0.8196602818937477
temporal_reconstructed,vote_uncertainty,0.9,0.910941475826972,2506,0.22585794094173983,0.8145478374836173
temporal_reconstructed,vote_uncertainty,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,tree_variance,0.5,0.5412577244638314,1489,0.2182672934855608,0.8429192846785887
temporal_reconstructed,tree_variance,0.7,0.7288258814976373,2005,0.20698254364089774,0.8426241941600303
temporal_reconstructed,tree_variance,0.8,0.831697564521992,2288,0.2076048951048951,0.8384903094185651
temporal_reconstructed,tree_variance,0.9,0.9233006179571065,2540,0.21929133858267716,0.8271796462922743
temporal_reconstructed,tree_variance,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,domain_probability,0.5,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,domain_probability,0.7,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,domain_probability,0.8,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,domain_probability,0.9,1.0,2751,0.2337331879316612,0.8129182426534769
temporal_reconstructed,domain_probability,1.0,1.0,2751,0.2337331879316612,0.8129182426534769
alphaearth,euclidean_nn,0.5,0.6143220647037441,1690,0.10059171597633136,0.9344135802469136
alphaearth,euclidean_nn,0.7,0.7778989458378771,2140,0.15467289719626168,0.8967238689547582
alphaearth,euclidean_nn,0.8,0.8527808069792803,2346,0.17902813299232737,0.8775510204081632
alphaearth,euclidean_nn,0.9,0.9178480552526354,2525,0.19485148514851486,0.8632573652028905
alphaearth,euclidean_nn,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,cosine_nn,0.5,0.6150490730643402,1692,0.09160756501182032,0.9410422213769494
alphaearth,cosine_nn,0.7,0.7691748455107233,2116,0.1498109640831758,0.900658100908806
alphaearth,cosine_nn,0.8,0.8440567066521265,2322,0.17614125753660637,0.8803043605501902
alphaearth,cosine_nn,0.9,0.9134860050890585,2513,0.1945881416633506,0.8642043876700917
alphaearth,cosine_nn,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,cosine_knn,0.5,0.6306797528171574,1735,0.09510086455331412,0.9393159249724163
alphaearth,cosine_knn,0.7,0.7837150127226463,2156,0.1660482374768089,0.891317547055252
alphaearth,cosine_knn,0.8,0.8549618320610687,2352,0.1879251700680272,0.8735697940503433
alphaearth,cosine_knn,0.9,0.9269356597600873,2550,0.20352941176470588,0.8576912530847272
alphaearth,cosine_knn,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,mahalanobis,0.5,0.6223191566703017,1712,0.1185747663551402,0.9266883351390394
alphaearth,mahalanobis,0.7,0.7793529625590694,2144,0.1553171641791045,0.8969359331476323
alphaearth,mahalanobis,0.8,0.8436932024718284,2321,0.17233950883239982,0.8828353837141183
alphaearth,mahalanobis,0.9,0.910941475826972,2506,0.18754988028731046,0.8681996634885025
alphaearth,mahalanobis,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,centroid,0.5,0.5928753180661578,1631,0.134886572654813,0.9094650205761317
alphaearth,centroid,0.7,0.7909850963286078,2176,0.1723345588235294,0.8870141608918349
alphaearth,centroid,0.8,0.8705925118138859,2395,0.20250521920668058,0.8644115180318703
alphaearth,centroid,0.9,0.9491094147582697,2611,0.22788203753351208,0.8406107688186445
alphaearth,centroid,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,entropy,0.5,0.5874227553616866,1616,0.1150990099009901,0.9354614850798056
alphaearth,entropy,0.7,0.7808069792802618,2148,0.16620111731843576,0.892047172664046
alphaearth,entropy,0.8,0.8487822609960014,2335,0.18458244111349037,0.8748911465892598
alphaearth,entropy,0.9,0.9218466012359142,2536,0.20110410094637224,0.8580968280467446
alphaearth,entropy,1.0,1.0,2751,0.22791712104689205,0.8336428760944548
alphaearth,confidence,0.5,0.5874227553616866,1616,0.1150990099009901,0.9354614850798056
alphaearth,confidence,0.7,0.7808069792802618,2148,0.16620111731843576,0.892047172664046
alphaearth,confidence,0.8,0.8487822609960014,2335,0.18458244111349037,0.8748911465892598
