representation,score,quantile,n,score_mean,error_rate
temporal_reconstructed,euclidean_nn,1,276,15.363621352375418,0.34057971014492755
temporal_reconstructed,euclidean_nn,2,275,18.080695689808238,0.3927272727272727
temporal_reconstructed,euclidean_nn,3,275,19.42940423445268,0.28363636363636363
temporal_reconstructed,euclidean_nn,4,275,20.685104058005592,0.24727272727272728
temporal_reconstructed,euclidean_nn,5,275,21.938013874400745,0.19272727272727272
temporal_reconstructed,euclidean_nn,6,275,23.318894986239346,0.22545454545454546
temporal_reconstructed,euclidean_nn,7,275,25.103658641468396,0.2
temporal_reconstructed,euclidean_nn,8,275,27.458583498868077,0.26545454545454544
temporal_reconstructed,euclidean_nn,9,275,30.88339041969993,0.1781818181818182
temporal_reconstructed,euclidean_nn,10,275,35.949273820356886,0.01090909090909091
temporal_reconstructed,cosine_nn,1,276,0.021513035520911217,0.286231884057971
temporal_reconstructed,cosine_nn,2,275,0.024808522313833237,0.23636363636363636
temporal_reconstructed,cosine_nn,3,275,0.02645394578576088,0.20727272727272728
temporal_reconstructed,cosine_nn,4,275,0.0279646348208189,0.24363636363636362
temporal_reconstructed,cosine_nn,5,275,0.029586639255285263,0.2509090909090909
temporal_reconstructed,cosine_nn,6,275,0.03127454221248627,0.26545454545454544
temporal_reconstructed,cosine_nn,7,275,0.033370692282915115,0.24727272727272728
temporal_reconstructed,cosine_nn,8,275,0.03621646761894226,0.2727272727272727
temporal_reconstructed,cosine_nn,9,275,0.04091019183397293,0.20727272727272728
temporal_reconstructed,cosine_nn,10,275,0.06020595133304596,0.12
temporal_reconstructed,cosine_knn,1,276,0.022922907024621964,0.2971014492753623
temporal_reconstructed,cosine_knn,2,275,0.026204796507954597,0.2109090909090909
temporal_reconstructed,cosine_knn,3,275,0.027960672974586487,0.2509090909090909
temporal_reconstructed,cosine_knn,4,275,0.029495641589164734,0.19636363636363635
temporal_reconstructed,cosine_knn,5,275,0.031246289610862732,0.26181818181818184
temporal_reconstructed,cosine_knn,6,275,0.03295261040329933,0.3054545454545455
temporal_reconstructed,cosine_knn,7,274,0.03517645597457886,0.2518248175182482
temporal_reconstructed,cosine_knn,8,276,0.03803063929080963,0.2427536231884058
temporal_reconstructed,cosine_knn,9,275,0.042910609394311905,0.21818181818181817
temporal_reconstructed,cosine_knn,10,275,0.065511055290699,0.10181818181818182
temporal_reconstructed,mahalanobis,1,276,272.8162220101324,0.3115942028985507
temporal_reconstructed,mahalanobis,2,275,331.4723793812511,0.38545454545454544
temporal_reconstructed,mahalanobis,3,275,357.055297097374,0.2909090909090909
temporal_reconstructed,mahalanobis,4,275,380.6930263647598,0.27636363636363637
temporal_reconstructed,mahalanobis,5,275,405.1548843778356,0.1781818181818182
temporal_reconstructed,mahalanobis,6,275,431.3987461887696,0.24363636363636362
temporal_reconstructed,mahalanobis,7,274,465.75889627798756,0.20072992700729927
temporal_reconstructed,mahalanobis,8,276,510.0524144491194,0.2753623188405797
temporal_reconstructed,mahalanobis,9,275,575.6356057600472,0.16363636363636364
temporal_reconstructed,mahalanobis,10,275,674.0671098260489,0.01090909090909091
temporal_reconstructed,centroid,1,276,16.78554344177246,0.3442028985507246
temporal_reconstructed,centroid,2,275,18.765426635742188,0.3527272727272727
temporal_reconstructed,centroid,3,275,19.966703414916992,0.3054545454545455
temporal_reconstructed,centroid,4,275,21.111724853515625,0.27636363636363637
temporal_reconstructed,centroid,5,275,22.29981803894043,0.18181818181818182
temporal_reconstructed,centroid,6,275,23.64956283569336,0.20363636363636364
temporal_reconstructed,centroid,7,275,25.35404396057129,0.22181818181818183
temporal_reconstructed,centroid,8,275,27.76263427734375,0.2545454545454545
temporal_reconstructed,centroid,9,275,31.188085556030273,0.18545454545454546
temporal_reconstructed,centroid,10,275,36.398834228515625,0.01090909090909091
temporal_reconstructed,entropy,1,276,0.31822037553614974,0.20652173913043478
temporal_reconstructed,entropy,2,275,0.443538563817201,0.3018181818181818
