representation,score,domain_auroc,domain_auprc,domain_target_prevalence,error_auroc,error_auprc,error_prevalence,sample_spearman,block_spearman,error_auroc_ci_low,error_auroc_ci_high,bootstrap_valid,aurc,risk_at_50,risk_at_70,risk_at_80,risk_at_90,risk_at_100
temporal_reconstructed,euclidean_nn,1.0,1.0,0.8975530179445351,0.36882969713245256,0.17570810609001453,0.2337331879316612,-0.19229871066855242,-0.3766325999777406,0.30074077480527756,0.43755473585057436,500,0.2911139147808506,0.2914244186046512,0.26895119418483904,0.2685143116765107,0.25848142164781907,0.2337331879316612
temporal_reconstructed,cosine_nn,0.9953659005295122,0.9988276863720253,0.8975530179445351,0.4616040943041542,0.2053460044287233,0.2337331879316612,-0.056289289636644764,0.2658189194509565,0.4015905962046427,0.5302667188200237,500,0.2513534709632695,0.2449127906976744,0.2481827622014538,0.25124943207632894,0.24636510500807754,0.2337331879316612
temporal_reconstructed,cosine_knn,0.9945960588737853,0.9977551225798859,0.8975530179445351,0.45565880995452407,0.2029439111862092,0.2337331879316612,-0.06500521451005847,0.25242753811841456,0.3950806406405943,0.5253072725143962,500,0.25456612745738827,0.24345930232558138,0.2533748701973001,0.2521581099500227,0.24838449111470112,0.2337331879316612
temporal_reconstructed,mahalanobis,1.0,1.0,0.8975530179445351,0.37440204095484575,0.17683973531725783,0.2337331879316612,-0.18412952519727904,-0.37797173811099477,0.3074113246965093,0.4421917876319051,500,0.2843609910182655,0.28851744186046513,0.26947040498442365,0.27033166742389825,0.25848142164781907,0.2337331879316612
temporal_reconstructed,centroid,0.999984950463873,0.9999982791102994,0.8975530179445351,0.36945532238882606,0.1759521156574448,0.2337331879316612,-0.19138152953902116,-0.3766325999777406,0.3011018360424561,0.4376659407477774,500,0.2959975119629072,0.2921511627906977,0.26947040498442365,0.2676056338028169,0.25848142164781907,0.2337331879316612
temporal_reconstructed,entropy,0.7804318985337122,0.9562635274762853,0.8975530179445351,0.5235804651464759,0.2901379607217208,0.2337331879316612,0.03456950960318274,-0.2668232730508971,0.4516024708827333,0.5847620231096179,500,0.23201550932741302,0.22529069767441862,0.21599169262720663,0.21444797819173103,0.21890145395799676,0.2337331879316612
temporal_reconstructed,confidence,0.7804318985337122,0.9562635274762853,0.8975530179445351,0.5235804651464759,0.2901379607217208,0.2337331879316612,0.03456950960318274,-0.18312713972251032,0.4516024708827333,0.5847620231096179,500,0.23201550932741302,0.22529069767441862,0.21599169262720663,0.21444797819173103,0.21890145395799676,0.2337331879316612
temporal_reconstructed,margin,0.7804318985337122,0.9562635274762853,0.8975530179445351,0.5235804651464759,0.2901379607217208,0.2337331879316612,0.03456950960318274,-0.18312713972251032,0.4516024708827333,0.5847620231096179,500,0.23201550932741302,0.22529069767441862,0.21599169262720663,0.21444797819173103,0.21890145395799676,0.2337331879316612
temporal_reconstructed,vote_uncertainty,0.7909526819431035,0.9570276205567168,0.8975530179445351,0.5269989022047389,0.2622809633493739,0.2337331879316612,0.03958154997379097,-0.017743580265618,0.4655828493435816,0.5881529842591767,500,0.23737448980388484,0.22533344733242133,0.2130180307750401,0.21462466555606036,0.2251259146631189,0.2337331879316612
temporal_reconstructed,tree_variance,0.7665539109113767,0.9535203074883283,0.8975530179445351,0.5434403782081738,0.3002134859415112,0.2337331879316612,0.06368460343360875,-0.24974926185190624,0.4698046037559675,0.610220655614783,500,0.22368614764544684,0.2180232558139535,0.2082035306334372,0.20763289413902772,0.21405492730210016,0.2337331879316612
temporal_reconstructed,domain_probability,1.0,1.0,0.8975530179445351,0.443911367787972,0.21187403416098208,0.2337331879316612,-0.10129724980779531,-0.17074011198990907,0.4191423280296868,0.4664104131500473,500,0.2687351347919908,0.2618238744355532,0.2457745538598093,0.2407577739615304,0.23685538378217455,0.2337331879316612
alphaearth,euclidean_nn,0.9818803585031036,0.9973560813709363,0.8975530179445351,0.7870257736448638,0.5185546935717614,0.22791712104689205,0.41709211932189905,0.8195525375515637,0.7321199906463299,0.8403222198084663,500,0.09276666401232755,0.07412790697674419,0.12305295950155763,0.1640163562017265,0.19103392568659128,0.22791712104689205
alphaearth,cosine_nn,0.9767878270090552,0.9965482576937461,0.8975530179445351,0.799530016189249,0.5089162418570046,0.22791712104689205,0.4352626862891979,0.8235699519513262,0.7460260302435816,0.8488553715907252,500,0.08685431988014405,0.06177325581395349,0.12201453790238836,0.1599273057701045,0.19305331179321486,0.22791712104689205
alphaearth,cosine_knn,0.9591416670718464,0.9935375443242955,0.8975530179445351,0.7976629212133226,0.4638939894362733,0.22791712104689205,0.4325495131528718,0.8399743940836899,0.7439306719159063,0.8471657220248184,500,0.08383405593387264,0.05377906976744186,0.1261682242990654,0.16946842344388915,0.19789983844911146,0.22791712104689205
alphaearth,mahalanobis,0.9944664013317682,0.9990857264782571,0.8975530179445351,0.7602038824161929,0.5042682910644871,0.22791712104689205,0.37811583043200936,0.4345503242409842,0.693785516729845,0.8206351315259756,500,0.10132852768705089,0.10973837209302326,0.13811007268951195,0.15901862789641072,0.18618739903069467,0.22791712104689205
alphaearth,centroid,0.8748619494474505,0.9729155134574987,0.8975530179445351,0.6723178859664142,0.34190552568576144,0.22791712104689205,0.250404105985869,0.6695690666270944,0.6169730024559735,0.7333001648399178,500,0.161402062423675,0.12790697674418605,0.14953271028037382,0.17582916855974556,0.21405492730210016,0.22791712104689205
alphaearth,entropy,0.7971820322430524,0.9607558498592563,0.8975530179445351,0.7552329720037124,0.4298862260581485,0.22791712104689205,0.370892341292782,0.09106139306128484,0.6807199056967503,0.8070996389849313,500,0.09845338662498114,0.07340116279069768,0.15835929387331257,0.17219445706497047,0.19547657512116318,0.22791712104689205
alphaearth,confidence,0.7971820322430524,0.9607558498592563,0.8975530179445351,0.7552329720037124,0.4298862260581485,0.22791712104689205,0.370892341292782,0.14931390185784205,0.6807199056967503,0.8070996389849313,500,0.09845338662498114,0.07340116279069768,0.15835929387331257,0.17219445706497047,0.19547657512116318,0.22791712104689205
alphaearth,margin,0.7971820322430524,0.9607558498592563,0.8975530179445351,0.7552329720037124,0.4298862260581485,0.22791712104689205,0.370892341292782,0.14931390185784205,0.6807199056967503,0.8070996389849313,500,0.09845338662498114,0.07340116279069768,0.15835929387331257,0.17219445706497047,0.19547657512116318,0.22791712104689205
alphaearth,vote_uncertainty,0.813191844540607,0.9635437978229227,0.8975530179445351,0.7948538312053032,0.5457564667818948,0.22791712104689205,0.4284722836596799,0.25811887518474486,0.7407655826489578,0.8340123054388707,500,0.08887249617875649,0.06943202146690518,0.1240913811007269,0.15008329547175528,0.1829967689822294,0.22791712104689205
alphaearth,tree_variance,0.7912687222017702,0.9513542217847788,0.8975530179445351,0.7361858249458607,0.3714417891150632,0.22791712104689205,0.34321393864842525,-0.024774055465202494,0.648023731645963,0.7956261811283667,500,0.10250685832800664,0.07703488372093023,0.16926272066458983,0.186278964107224,0.20718901453957997,0.22791712104689205
alphaearth,domain_probability,0.9999988423433749,0.9999998679127252,0.8975530179445351,0.46300576385322145,0.21358120718525275,0.22791712104689205,-0.06075698879526193,-0.3391367322466233,0.4009153281073515,0.5190049142509008,500,0.2564917043700523,0.24529528763769887,0.23536645351697,0.23226284703125372,0.22984865232548252,0.22791712104689205
