representation,method,regime,budget,trees,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,n_seeds,f1_gain_over_source_mean,remaining_gap_to_target_full_mean
alphaearth,coral,none,0,500,0.7382994444289526,0.0007557510959647959,0.9504621072088725,0.0014838687096478463,0.8310525699227789,0.0003450482271401612,0.9002857854511609,0.0003044868685672031,0.9151425296370904,0.001676780767127481,5,-0.004136089120702069,0.07452766904768438
alphaearth,importance,none,0,500,0.730891550645681,0.0038055418584148513,0.9725200246457177,0.0012776612047644942,0.8345637974771268,0.0025595244268478558,0.9078888146021509,0.0017373786402812015,0.9294235807269742,0.0013789502496209462,5,-0.0006248615663541068,0.07101644149333641
alphaearth,joint,clustered,20,300,0.7880305561949487,0.04509380514214327,0.8667077428630108,0.10681979042462987,0.8212684370266964,0.05709767864529965,0.8683457381261389,0.06666998651822142,0.8982722485608555,0.04887661570569564,30,-0.013920222016784556,0.08431180194376686
alphaearth,joint,clustered,50,300,0.8029745152077705,0.0530132281670417,0.8529266789895256,0.10988953191198025,0.8226486859379523,0.06189177574605237,0.8631925326533912,0.0803462268599473,0.8965238352219519,0.057005973389034875,30,-0.012539973105528679,0.08293155303251099
alphaearth,joint,clustered,100,300,0.8084788889631889,0.05483835008881215,0.8466420209488601,0.08710907776674422,0.8239209005785483,0.049808875917708724,0.8572968421581609,0.06605941716548229,0.8856496998614259,0.059821967792897446,30,-0.011267758464932665,0.08165933839191497
alphaearth,joint,clustered,200,300,0.8251311771687442,0.05417771100539722,0.8441158348736907,0.09030385443053472,0.8306343703037694,0.04646323838829473,0.8778047886542303,0.04674351246564609,0.9033458848478494,0.03574050329144594,30,-0.004554288739711532,0.07494586866669384
alphaearth,joint,clustered,250,300,0.8590183667551914,0.04718764514587862,0.8789895255699323,0.05180476241285494,0.8667870546910403,0.01290458931807263,0.9082506893372312,0.013311768657560901,0.9254530165123747,0.00745120627881764,5,0.031598395647559396,0.03879318427942291
alphaearth,joint,clustered,500,300,0.868633061618216,0.0420133173282706,0.8512425549394126,0.07044773422666091,0.8571862084779905,0.03841815702079517,0.9079741715207952,0.025671078202769267,0.9245854068503601,0.018424060384836533,30,0.0219975494345096,0.048394030492472706
alphaearth,joint,distributed,20,300,0.8073325621742772,0.03197033930785676,0.9093448346683097,0.045130752746731326,0.853872126613542,0.015041862881970383,0.9044798180411899,0.010099165168055414,0.9206575745287676,0.009558897483236654,30,0.018683467570061008,0.0517081123569213
alphaearth,joint,distributed,50,300,0.8364944503915391,0.02351932638348868,0.9128568494557404,0.018462805295689607,0.8725805441636093,0.00868000833496507,0.915394661041267,0.007876066100470966,0.9276838421010362,0.007888341813169336,30,0.037391885120128365,0.03299969480685394
alphaearth,joint,distributed,100,300,0.8537025905937059,0.01716181387686455,0.9030601766276443,0.02282990074071373,0.8773237353879507,0.008651919644183246,0.9196995137860163,0.006883267761662847,0.9313418734010072,0.00874067454750235,30,0.04213507634446978,0.028256503582512527
alphaearth,joint,distributed,200,300,0.8558020845209258,0.011253838591233445,0.9191004313000616,0.013939047049001034,0.8861866896774426,0.0058104143326025825,0.9259227396075038,0.006053162104894097,0.9359683573260881,0.006934802141264938,30,0.05099803063396169,0.019393549293020618
alphaearth,joint,distributed,250,300,0.8601558030899407,0.006247464812590564,0.9309919901417129,0.006388306023822506,0.8941383180308475,0.0010627449924762496,0.9276520911716766,0.004836912199186697,0.9365179215915056,0.005726008318512867,5,0.05894965898736659,0.011441920939615713
alphaearth,joint,distributed,500,300,0.8709601672697976,0.005031505926365793,0.924625179708359,0.008281192191221401,0.8969552539798797,0.0035116014668968333,0.9337647153288499,0.0038873396335110406,0.9425317520785461,0.004834844940008634,30,0.0617665949363988,0.008624984990583506
alphaearth,pseudo_label,none,0,500,0.6864448509860445,0.005425918719450517,0.9969192852741836,0.00130703656411558,0.8130387670507814,0.0035816575955077193,0.9114291785197711,0.0011477663259472947,0.9319032739626192,0.0017366118140929852,5,-0.022149891992699566,0.09254147191968187
alphaearth,source_only,none,0,500,0.7316472863767661,0.003657219419612407,0.9728897104128157,0.0032310808631242833,0.8351886590434809,0.0021292942424576814,0.9081801715586669,0.0008721352015195066,0.9295285491559874,0.001552624428524177,5,0.0,0.0703915799269823
alphaearth,target_full,none,9249,500,0.8926300117957456,0.001601083070807626,0.9189155884165127,0.0016067042280228725,0.9055802389704632,0.000685716515051402,0.9489426156797455,0.00022298100720247462,0.957451988617248,0.00047990845430593307,5,0.0703915799269823,0.0
alphaearth,target_only,clustered,20,300,0.7158929663392725,0.12245583888791028,0.7747997535428219,0.1976286176234286,0.733829122065842,0.14291083454929862,0.7500412582716827,0.18728585054492825,0.8048894612353784,0.14449739099670347,30,-0.10135953697763889,0.1717511169046212
alphaearth,target_only,clustered,50,300,0.7286922501823211,0.12079726821730447,0.8004518381597864,0.16117110496317227,0.7564104136887065,0.12144955947090914,0.7783347280304256,0.16412566946622467,0.8292337976721308,0.12227201778604356,30,-0.0787782453547744,0.1491698252817567
alphaearth,target_only,clustered,100,300,0.7527873095265393,0.13358802173648562,0.7615116040254672,0.17592699081608737,0.7477689482341371,0.13317993770057845,0.7841000707908916,0.13618923071554048,0.8264741635244613,0.11295569701649066,30,-0.08741971080934385,0.15781129073632616
alphaearth,target_only,clustered,200,300,0.7919691851203474,0.09934998310336392,0.7979667282809612,0.13164069777889134,0.7860712698869539,0.08398553582144631,0.835398932528706,0.09220925700519521,0.8655532272578513,0.07017672903574967,30,-0.04911738915652708,0.11950896908350939
alphaearth,target_only,clustered,250,300,0.8751399072189674,0.047425460748679066,0.8444855206407886,0.06500614675659891,0.8568025505303754,0.019362772660481,0.9047972846012332,0.010485054711514409,0.9087176347917222,0.008352098897006088,5,0.02161389148689441,0.048777688440087896
alphaearth,target_only,clustered,500,300,0.8731262128111887,0.05473029977790001,0.8245224892174985,0.0838243992558653,0.8447226699456892,0.052300319808971575,0.8984170461116718,0.03911377597140338,0.9125417197156511,0.02932541352608927,30,0.00953401090220829,0.060857569024774016
alphaearth,target_only,distributed,20,300,0.8190471081376599,0.049987872676747466,0.8677962620661327,0.06229081990625997,0.8403561133023143,0.03322070712644079,0.8780578915821473,0.03945767555100162,0.8968700766349988,0.03143693217052388,30,0.005167454258833359,0.06522412566814895
alphaearth,target_only,distributed,50,300,0.8513185954601872,0.02689843505944901,0.8922365988909426,0.029014199509355788,0.8705941522422209,0.01211949037244739,0.911986802451171,0.010398954627117159,0.9187398660263119,0.010934266795647346,30,0.03540549319873998,0.03498608672824233
alphaearth,target_only,distributed,100,300,0.8702901668855765,0.018631888290972405,0.8855206407886629,0.025765152194741684,0.8773785770380073,0.009458865673216802,0.9181218673938027,0.007400624122937612,0.9232690650436806,0.009297996237592306,30,0.042189917994526316,0.02820166193245599
alphaearth,target_only,distributed,200,300,0.8679686256346096,0.01045930812424989,0.9115424111727254,0.015465643598002735,0.8890721737739729,0.005750264899624643,0.9242671558666858,0.006520695746918397,0.9265950243183029,0.00882498602226337,30,0.05388351473049191,0.016508065196490396
alphaearth,target_only,distributed,250,300,0.8671322547329726,0.004100443506918986,0.9205175600739371,0.008614991653795197,0.8929956346443264,0.002705010683790809,0.9262059577963931,0.005865308402285655,0.9284154650340506,0.008397476767842317,5,0.05780697560084547,0.012584604326136839
alphaearth,target_only,distributed,500,300,0.8764641546768094,0.0041389923561545704,0.9209488601355514,0.008821305055666272,0.8981255940158358,0.0041324352354509064,0.9321577912222208,0.004541332771934256,0.9348329714452609,0.008066200068721496,30,0.06293693497235486,0.007454644954627443
galileo,coral,none,0,500,0.6878546233829699,0.0036132980184503216,0.9539125077017868,0.0018688540835616323,0.79932333168148,0.003025996929835844,0.8168255091918913,0.001680752686538143,0.825382031965136,0.004433996041373882,5,-0.022638199629509304,0.06907525243368107
galileo,importance,none,0,500,0.7213179396718118,0.0008723505571004568,0.9769562538508934,0.0009344270417809249,0.8298965061872086,0.0008055980723516963,0.8149250250171516,0.0045363880748902205,0.8171898027280445,0.004879833175387889,5,0.007934974876219303,0.03850207792795246
galileo,joint,clustered,20,300,0.7234558655392053,0.026663264702796088,0.9287944136372971,0.05542988674922694,0.8129181965957565,0.03482474058037133,0.8015841464817945,0.06650600455820851,0.8152701230024985,0.05882659265598621,30,-0.009043334715232776,0.05548038751940454
galileo,joint,clustered,50,300,0.733763223318759,0.037924194926250286,0.8980488806736495,0.07511434125498659,0.8066768156281767,0.04816941492324092,0.8020517250545862,0.08023231286590768,0.8206549923544425,0.06727795811934908,30,-0.015284715682812533,0.061721768486984296
galileo,joint,clustered,100,300,0.7466620876924022,0.03690515244964775,0.8686383240911891,0.074269336859339,0.8017629270415242,0.046055828497363005,0.7962155549874804,0.0731625388511614,0.8138862635706883,0.07174815696661163,30,-0.02019860426946507,0.06663565707363683
galileo,joint,clustered,200,300,0.7699114467304646,0.035461365386586424,0.8527623742041487,0.06960233588183978,0.8074227492295474,0.03591804974279105,0.8162542569214118,0.050115612271487274,0.8346745436304677,0.04687447612089753,30,-0.014538782081441881,0.060975834885613645
galileo,joint,clustered,250,300,0.7791551894867665,0.021417031098825076,0.8955021565003081,0.05927090174932926,0.8319561940224661,0.017746776689804723,0.8503233658010076,0.013900986147297864,0.8592149805080596,0.013702446913929574,5,0.009994662711476865,0.0364423900926949
galileo,joint,clustered,500,300,0.8011580381444909,0.028522578577772233,0.8531320599712466,0.06118029385308538,0.8250226458824739,0.03502069329214598,0.8528194184076711,0.03223689389858401,0.8667737257656726,0.030117544595447306,30,0.0030611145714846133,0.04337593823268715
galileo,joint,distributed,20,300,0.7407623437595264,0.016369963749181267,0.9441158348736907,0.022273111240381522,0.829865682645975,0.010161155903239136,0.82382826326346,0.027407344938792964,0.8319151458962167,0.027278839314107142,30,0.007904151334985787,0.038532901469185976
galileo,joint,distributed,50,300,0.7624604356644915,0.010319127273633178,0.9414869583076607,0.016594088245693823,0.8424154667313827,0.0060711878302516335,0.8452616713933424,0.016881786765389158,0.8510378775605562,0.021527619649855216,30,0.02045393542039342,0.025983117383778342
galileo,joint,distributed,100,300,0.7737686894910583,0.008912376518060153,0.9314643663996713,0.017396843140001138,0.8451950770314552,0.007344138943561112,0.8540258951187787,0.013789924755681856,0.8623294686623854,0.013798408300415593,30,0.023233545720465987,0.023203507083705777
galileo,joint,distributed,200,300,0.7825394839784666,0.007537655426927268,0.9339494762784966,0.012999463152330132,0.8514790550104139,0.0048972401425333295,0.8629057913067036,0.014599767089763769,0.8713362831615074,0.0166105886594311,30,0.02951752369942462,0.016919529104747144
galileo,joint,distributed,250,300,0.7849166946968038,0.004946498976621346,0.9272951324707333,0.02366742922571637,0.8500368643856306,0.008852767676615216,0.8612329741351058,0.019492506201869,0.8661439409152851,0.020881799093441334,5,0.028075333074641384,0.01836171972953038
galileo,joint,distributed,500,300,0.7931657844403887,0.0073367826477274195,0.9377079482439926,0.009439539022222755,0.859346486573078,0.004436663838431968,0.8778155219954292,0.009582619095936891,0.8856492669692936,0.010801544202253486,30,0.03738495526208874,0.009052097542083026
galileo,pseudo_label,none,0,500,0.6718105738804844,0.0015449485564174774,0.982501540357363,0.0012010837147022574,0.7979794030922072,0.0008166329093057808,0.8322793902369747,0.0016933797489795679,0.837056058291156,0.002472206115184781,5,-0.023982128218782095,0.07041918102295386
galileo,source_only,none,0,500,0.710396632219473,0.0024453372875204863,0.9751078250154036,0.001664726566371702,0.8219615313109893,0.0011481475362389085,0.8170210581053385,0.0020367301271470043,0.8222390779368303,0.0033644802533913565,5,0.0,0.04643705280417176
galileo,target_full,none,9249,500,0.854567316317851,0.002190757650072679,0.8826863832409119,0.0035821175240291873,0.868398584115161,0.0028038087563996253,0.9188266628212354,0.00037494717895625464,0.9325030694797063,0.0004984953394968654,5,0.04643705280417176,0.0
galileo,target_only,clustered,20,300,0.6458665995427084,0.09699976200632324,0.7048264530704457,0.23603041886320786,0.6620450212810327,0.16119292733334015,0.6406223462519428,0.15309687965972799,0.7049565367583825,0.11962834572760823,30,-0.15991651002995655,0.2063535628341283
galileo,target_only,clustered,50,300,0.6691612379507468,0.09150261858845601,0.719162045594578,0.18112401220858437,0.6841115751005952,0.11843712223999268,0.678995725235205,0.13176676185801278,0.7402430901884777,0.10701021947172969,30,-0.1378499562103941,0.18428700901456585
galileo,target_only,clustered,100,300,0.6749601226546915,0.10926976647349741,0.6935715752721298,0.20265508554262027,0.6748711426684638,0.1447334347554156,0.6932549007398084,0.13003461718960624,0.7515938259669086,0.11555946636539065,30,-0.14709038864252544,0.1935274414466972
galileo,target_only,clustered,200,300,0.7431145837715321,0.09717598722205012,0.7153624974327377,0.14259503887112096,0.7164010375820294,0.08669087229779947,0.7457413306648372,0.09563954917174947,0.7896244643150018,0.07806798127073769,30,-0.10556049372895981,0.15199754653313158
galileo,target_only,clustered,250,300,0.8069883476468707,0.03808217977551137,0.7650030807147259,0.13688680179851212,0.7774590062792331,0.05747971586295086,0.8240963783030286,0.014730258355583978,0.8381796653826659,0.010688276913589742,5,-0.04450252503175611,0.09093957783592788
galileo,target_only,clustered,500,300,0.8202914201049771,0.059576507977290374,0.7569110700349148,0.1054373536945773,0.7836944175127426,0.07208687462960361,0.835844088523573,0.06263470733181378,0.855931559623037,0.050244244604159015,30,-0.038267113798246655,0.08470416660241842
galileo,target_only,distributed,20,300,0.7356994950718333,0.069846935228965,0.7429246251797083,0.1433848610309993,0.7340737445751396,0.09649987764505631,0.7501162824148725,0.10492931169817364,0.7752836854356373,0.09550987429123384,30,-0.08788778673584963,0.1343248395400214
galileo,target_only,distributed,50,300,0.7933055064371117,0.022494973740000406,0.8640583281988088,0.05518605020123973,0.8262330777318155,0.029198892505455154,0.8424786316382847,0.03186453045750345,0.8506234728450256,0.035135814130671905,30,0.004271546420826278,0.042165506383345486
galileo,target_only,distributed,100,300,0.8094132751433768,0.016369564753031623,0.8833230642842473,0.028930670260208975,0.8443438122006592,0.012742722361271636,0.8681092313653174,0.019428396121237798,0.8735310666965556,0.021716021488242487,30,0.02238228088966998,0.024054771914501782
galileo,target_only,distributed,200,300,0.809006197715419,0.013850687523088408,0.8939001848428835,0.020384736294790894,0.8491424797157073,0.010882595385562865,0.8770040850422925,0.015631510666770043,0.8849144148907631,0.016253756004604346,30,0.027180948404718075,0.01925610439945369
galileo,target_only,distributed,250,300,0.808739359278885,0.006227136540410106,0.9001848428835488,0.045538341032330544,0.8515087153249686,0.020191480651911013,0.8763779097459832,0.021056388888839053,0.880445251359442,0.022599934407997544,5,0.029547184013979377,0.016889868790192386
galileo,target_only,distributed,500,300,0.8166702479931566,0.0070155746952976165,0.9121380160197164,0.012659890613783578,0.8616940676804461,0.005631891925299348,0.8910993745347976,0.009142058582154862,0.8975765886528816,0.010032588191341264,30,0.03973253636945684,0.006704516434714924
presto_primary,coral,none,0,500,0.7213338516186326,0.0016001100374515168,0.8829328404189771,0.003049751982936441,0.7939927475812374,0.0018718017946504255,0.7739198926775125,0.002324898933781267,0.8042766378138497,0.0028239226431087247,5,-0.03178169138700271,0.10765669553614066
presto_primary,importance,none,0,500,0.7585641106895122,0.001897278283244626,0.900924214417745,0.0011021900073935973,0.8236364305816398,0.0010981223133792928,0.8107555179752058,0.0042878601532303304,0.8298529274176657,0.007640649751232795,5,-0.0021380083866002764,0.07801301253573822
presto_primary,joint,clustered,20,300,0.7743310248216304,0.02967062903774892,0.8432943109468063,0.07377662855061039,0.8062031703307564,0.04611800616718571,0.8058588202392033,0.05919105619717254,0.8345711420469963,0.04938387321420631,30,-0.019571268637483707,0.09544627278662166
presto_primary,joint,clustered,50,300,0.7874038094285981,0.031077577440758505,0.8216471554734032,0.09288158670338544,0.8018385212091442,0.05412917591235084,0.8095481581987068,0.06372522499340222,0.8424991015582264,0.048667422209180744,30,-0.02393591775909587,0.09981092190823382
presto_primary,joint,clustered,100,300,0.7910166533298982,0.03370204501014121,0.8054015198192648,0.08489538569989745,0.7960079958368877,0.04900636451359738,0.8126937190562963,0.055867148611008416,0.8409086586814779,0.05522237584602453,30,-0.02976644313135235,0.1056414472804903
presto_primary,joint,clustered,200,300,0.8015869887550989,0.04123404629315214,0.7894228794413638,0.10080030575407545,0.7914796343561809,0.05274582600722173,0.831038783503683,0.04216844260968395,0.8586521840081528,0.036975051653958896,30,-0.03429480461205925,0.1101698087611972
presto_primary,joint,clustered,250,300,0.8177911018298879,0.043147006225752536,0.8348736906962415,0.07558494497869285,0.8234765706212706,0.030758663668864282,0.8672286239911206,0.04232108728706646,0.8849456697754465,0.043946804445189704,5,-0.002297868346969545,0.07817287249610749
presto_primary,joint,clustered,500,300,0.8348033857110531,0.03070628320674383,0.8339905524748409,0.06682586382887488,0.8327138207014919,0.037950894166431624,0.8779587788716864,0.02921498068332297,0.8980578109452689,0.022577997171220606,30,0.006939381733251815,0.06893562241588613
presto_primary,joint,distributed,20,300,0.776840245602925,0.019744819264590447,0.8660505237215034,0.06159657254641364,0.8178443178962647,0.030574709806051457,0.8368023328220657,0.02793066360025273,0.8610111844174945,0.02680729167318494,30,-0.007930121071975438,0.08380512522111339
presto_primary,joint,distributed,50,300,0.795601894796517,0.019301210579397814,0.8594988704046005,0.05101812496109696,0.8255091535061256,0.027481704746082372,0.8592056289683321,0.023195057197708355,0.8837962986202598,0.019160685781951386,30,-0.0002652854621144618,0.07614028961125241
presto_primary,joint,distributed,100,300,0.8164260632984911,0.01451307944312199,0.867118504826453,0.035421829482235816,0.8405800995164565,0.018587866152904677,0.877550902802358,0.014760745757659639,0.8980398095154236,0.013301797112611974,30,0.014805660548216415,0.06106934360092153
presto_primary,joint,distributed,200,300,0.8265508735322039,0.00918613781407571,0.8877592934894228,0.019454622163348055,0.8558954733735323,0.00832900208786661,0.8933353962469174,0.007871614849865939,0.9100450256644458,0.007840361837340134,30,0.030121034405292235,0.04575396974384571
presto_primary,joint,distributed,250,300,0.8290037548688766,0.007554195165170999,0.8939001848428836,0.030395899592573595,0.8599562985799416,0.012751717207028264,0.8983603933701272,0.01058329370670286,0.9123518369295095,0.0072992093768472115,5,0.034181859611701504,0.041693144537436444
presto_primary,joint,distributed,500,300,0.8471605019689429,0.008082395217060697,0.9035530909837749,0.015989234531773644,0.8743350170088448,0.0071191271484183985,0.9123873590918957,0.006373316509408589,0.9246083075002274,0.007177490774189656,30,0.04856057804060465,0.027314426108533296
presto_primary,pseudo_label,none,0,500,0.7515203048995678,0.0032819117626950636,0.9044978434996919,0.001899080099497622,0.8209401903098177,0.0022749121555114,0.8301014778691067,0.0031365058072673428,0.8576331928648127,0.002777816594465937,5,-0.004834248658422413,0.08070925280756036
presto_primary,source_only,none,0,500,0.7621996545067992,0.0021893997420304903,0.900924214417745,0.003242808962893588,0.8257744389682401,0.0022761543424441805,0.8125708455141736,0.0014112521800939532,0.83140549201709,0.002504566957486119,5,0.0,0.07587500414913795
presto_primary,target_full,none,9249,500,0.8875522683412429,0.0016512345322259017,0.9162045594577941,0.0015092358242656586,0.901649443117378,0.0009660466431361425,0.9455004085770593,0.0002830869747048455,0.9530950276088446,0.0004712560873808942,5,0.07587500414913795,0.0
presto_primary,target_only,clustered,20,300,0.6898996728722151,0.12147545353335745,0.6714725816389403,0.22062524674650308,0.6675145318756494,0.16431828850417407,0.6865642693171009,0.12996186188802594,0.7552339663600691,0.10787480446094828,30,-0.15825990709259075,0.2341349112417287
presto_primary,target_only,clustered,50,300,0.7155907936510649,0.10715794038842084,0.7285274183610597,0.1703335521117764,0.7105070320537566,0.11149814505898126,0.7390253179399559,0.11891311367623118,0.8022758559933869,0.08780239253668297,30,-0.11526740691448345,0.1911424110636214
presto_primary,target_only,clustered,100,300,0.7523026469521574,0.11081164980344893,0.7222632984185664,0.1466635052252144,0.7290283553955954,0.10774393246812423,0.7491930785152557,0.11374004139938702,0.806801831697758,0.08882498456659788,30,-0.09674608357264469,0.17262108772178264
presto_primary,target_only,clustered,200,300,0.7804188315252875,0.09456430688834547,0.7433353871431506,0.13028731394536622,0.7511924853364546,0.07744605238902134,0.8031883940809493,0.07153668446501926,0.8458632841030508,0.047475350978026194,30,-0.07458195363178555,0.1504569577809235
presto_primary,target_only,clustered,250,300,0.8298150347388186,0.06810639061816245,0.8129390018484288,0.12249674859167191,0.8131883259518945,0.049285607649390814,0.8765921942117523,0.04485640985759346,0.894509033418742,0.03412114390103558,5,-0.012586113016345601,0.08846111716548355
presto_primary,target_only,clustered,500,300,0.8572268005436626,0.03870206485059952,0.8059560484699116,0.07652104541791757,0.8281097176843358,0.04269995106406895,0.8849811242496676,0.036983232786550725,0.9031838239340931,0.02624105079892005,30,0.0023352787160957345,0.07353972543304221
presto_primary,target_only,distributed,20,300,0.7792600992597918,0.05981983162496823,0.7736290819470117,0.11734834665452987,0.7699716204052348,0.06378022434126603,0.7988798998294319,0.06829064688059891,0.8383024246144288,0.05867921810838862,30,-0.055802818563005285,0.13167782271214323
