block_row,block_col,block_id,n_pixels,reference_rice_pixels,reference_rice_area_ha,zero_reference_rice,M0_coverage,M0_f1,M0_precision,M0_recall,M0_iou,M0_pred_rice_area_ha,M0_delta_f1_vs_M0,M1_coverage,M1_f1,M1_precision,M1_recall,M1_iou,M1_pred_rice_area_ha,M1_delta_f1_vs_M0,M1b_coverage,M1b_f1,M1b_precision,M1b_recall,M1b_iou,M1b_pred_rice_area_ha,M1b_delta_f1_vs_M0,M2_coverage,M2_f1,M2_precision,M2_recall,M2_iou,M2_pred_rice_area_ha,M2_delta_f1_vs_M0,M2_QA_coverage,M2_QA_f1,M2_QA_precision,M2_QA_recall,M2_QA_iou,M2_QA_pred_rice_area_ha,M2_QA_delta_f1_vs_M0
0,0,R0C0,39938,9463,378.52,False,1.0,0.5062899389632347,0.34733034520720296,0.9335305928352531,0.338947933852588,1017.36,,0.42588512193900546,0.5943890485043096,0.495177754311862,0.7433160731269154,0.42286882289287003,568.2,0.08809910954107492,0.3434823977164605,0.501083099045951,0.44433545855811674,0.5744478495191799,0.33429678371563865,489.36,-0.005206839917283657,0.12051179327958335,0.45404875315214344,0.6733845834199044,0.3424918102081792,0.2937018577254191,192.52,-0.05224118581109127,0.12051179327958335,0.45404875315214344,0.6733845834199044,0.3424918102081792,0.2937018577254191,192.52,-0.05224118581109127
0,1,R0C1,41599,645,25.8,False,1.0,0.04542689109714054,0.023481314534304732,0.6945736434108527,0.023241336376841667,763.16,,0.1796918195148922,0.1052115667374612,0.05880204528853177,0.4992248062015504,0.05552681496809795,219.04,0.05978467564032065,0.10745450611793553,0.11248170604223291,0.06500724987916869,0.4170542635658915,0.059592379264510414,165.52,0.06705481494509237,0.00913483497199452,0.0,0.0,0.0,0.0,15.200000000000001,-0.04542689109714054,0.00913483497199452,0.0,0.0,0.0,0.0,15.200000000000001,-0.04542689109714054
0,2,R0C2,40918,0,0.0,True,1.0,0.0,0.0,,0.0,154.64000000000001,,0.6519135832640891,0.0,0.0,,0.0,8.48,0.0,0.0026149860697003762,0.0,0.0,,0.0,4.28,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,
0,3,R0C3,40239,0,0.0,True,1.0,0.0,0.0,,0.0,69.28,,0.7411466487735778,0.0,0.0,,0.0,1.12,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,
0,4,R0C4,39559,0,0.0,True,1.0,0.0,0.0,,0.0,623.96,,0.22113804696782022,0.0,0.0,,0.0,122.44,0.0,0.06380343284713971,0.0,0.0,,0.0,85.56,0.0,0.05141687100280593,0.0,0.0,,0.0,78.48,0.0,0.05141687100280593,0.0,0.0,,0.0,78.48,0.0
0,5,R0C5,39176,0,0.0,True,1.0,0.0,0.0,,0.0,1099.68,,0.1505768838064121,0.0,0.0,,0.0,223.84,0.0,0.12824178068205022,0.0,0.0,,0.0,194.4,0.0,0.06103226465182765,0.0,0.0,,0.0,90.16,0.0,0.06103226465182765,0.0,0.0,,0.0,90.16,0.0
1,0,R1C0,40601,19915,796.6,False,1.0,0.7040664659476352,0.5673310198691767,0.9276424805423048,0.5432890248206094,1302.52,,0.49924878697569025,0.6560457095794513,0.6729499973599451,0.6399698719558122,0.48814585009000727,757.5600000000001,-0.048020756368183926,0.49185980640870913,0.6490536686543946,0.6709729295095149,0.6285212151644489,0.4804437108970176,746.2,-0.0550127972932406,0.13507056476441467,0.3396748803543883,0.7999254843517138,0.21561636957067537,0.20458335318500168,214.72,-0.3643915855932469,0.13507056476441467,0.3396748803543883,0.7999254843517138,0.21561636957067537,0.20458335318500168,214.72,-0.3643915855932469
1,1,R1C1,42542,9088,363.52,False,1.0,0.4677138819436895,0.3105601270391223,0.9468529929577465,0.30523926075697916,1108.32,,0.3232570165953646,0.6476417341591234,0.5710804906738364,0.7479093309859155,0.4788980483336856,476.08,0.1799278522154339,0.2779841098208829,0.6524007342285769,0.5814534182882728,0.7430677816901409,0.4841207255000358,464.56,0.1846868522848874,0.06579380377039161,0.3635904769916716,0.7720614505180422,0.23778609154929578,0.22218794982521078,111.96000000000001,-0.10412340495201794,0.06579380377039161,0.3635904769916716,0.7720614505180422,0.23778609154929578,0.22218794982521078,111.96000000000001,-0.10412340495201794
1,2,R1C2,42542,747,29.88,False,1.0,0.024301904428087395,0.012421989309922662,0.5568942436412316,0.012300413956238912,1339.56,,0.0849513422029994,0.009017713365539453,0.005937234944868533,0.018741633199464525,0.004529278550630864,94.32000000000001,-0.015284191062547942,0.0007286916459028725,0.0,0.0,0.0,0.0,1.08,-0.024301904428087395,0.009731559400122233,0.007050528789659225,0.028846153846153848,0.004016064257028112,0.003537735849056604,4.16,-0.01725137563842817,0.009731559400122233,0.007050528789659225,0.028846153846153848,0.004016064257028112,0.003537735849056604,4.16,-0.01725137563842817
1,3,R1C3,42542,0,0.0,True,1.0,0.0,0.0,,0.0,730.6800000000001,,0.39462178552959426,0.0,0.0,,0.0,0.24,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,
1,4,R1C4,42542,0,0.0,True,1.0,0.0,0.0,,0.0,135.76,,0.37722721075642895,0.0,0.0,,0.0,1.16,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,
1,5,R1C5,42557,0,0.0,True,1.0,0.0,0.0,,0.0,54.92,,0.23798670019033297,0.0,0.0,,0.0,11.44,0.0,0.0011983927438494256,0.0,0.0,,0.0,2.04,0.0,0.005709988955988439,0.0,0.0,,0.0,9.72,0.0,0.005709988955988439,0.0,0.0,,0.0,9.72,0.0
2,0,R2C0,41023,16379,655.16,False,1.0,0.659442592117637,0.5073169127560919,0.9418767934550338,0.49191671183954594,1216.3600000000001,,0.4584988908660995,0.6860141295107437,0.6598060223299876,0.7143903779229501,0.522086382295199,709.36,0.026571537393106692,0.4376081710260098,0.6884509404576494,0.6757010994179552,0.7016911899383357,0.524914364010048,680.36,0.029008348340012424,0.11008458669526851,0.26073545713046414,0.6189931350114416,0.16515049758837536,0.14991132786521835,174.8,-0.39870713498717286,0.11008458669526851,0.26073545713046414,0.6189931350114416,0.16515049758837536,0.14991132786521835,174.8,-0.39870713498717286
2,1,R2C1,42542,19088,763.52,False,1.0,0.7115625980545968,0.5686434302908726,0.9504400670578373,0.5522678843226788,1276.16,,0.5389497437826148,0.7516860821581851,0.7066445335915525,0.802860435875943,0.6021611001964636,867.48,0.04012348410358835,0.5177236613229279,0.7551916932907349,0.721205186880244,0.7925398155909472,0.6066730830927174,839.04,0.043629095236138116,0.14181279676554934,0.3046814730602136,0.6771340913192565,0.19656328583403185,0.17971930832974087,221.64000000000001,-0.40688112499438317,0.14181279676554934,0.3046814730602136,0.6771340913192565,0.19656328583403185,0.17971930832974087,221.64000000000001,-0.40688112499438317
2,2,R2C2,42542,13061,522.44,False,1.0,0.5059770174040463,0.3808731325954021,0.7534645126713115,0.33866749260100487,1033.52,,0.1667763621832542,0.4297022623972218,0.6452453987730061,0.3221039736620473,0.27364381423181994,260.8,-0.07627475500682451,0.14080203093413568,0.4449709239715701,0.7497731809109055,0.31636168746650334,0.28614958448753464,220.44,-0.061006093432476205,0.07742936392271167,0.2734311071945616,0.7685774946921444,0.16629660822295383,0.15836675173168063,113.04,-0.23254591020948473,0.07742936392271167,0.2734311071945616,0.7685774946921444,0.16629660822295383,0.15836675173168063,113.04,-0.23254591020948473
2,3,R2C3,42542,762,30.48,False,1.0,0.02473151590251962,0.012613893716753569,0.6286089238845144,0.012520584468201897,1518.96,,0.0005641483710215787,0.0,0.0,0.0,0.0,0.36,-0.02473151590251962,0.000423111278266184,0.0,0.0,0.0,0.0,0.16,-0.02473151590251962,0.0005641483710215787,0.0,,0.0,0.0,0.0,-0.02473151590251962,0.0005641483710215787,0.0,,0.0,0.0,0.0,-0.02473151590251962
2,4,R2C4,42542,0,0.0,True,1.0,0.0,0.0,,0.0,1345.72,,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,,,,,0.0,
2,5,R2C5,42225,0,0.0,True,1.0,0.0,0.0,,0.0,364.40000000000003,,0.6821551213735938,0.0,0.0,,0.0,129.88,0.0,0.008288928359976317,0.0,0.0,,0.0,12.96,0.0,0.0002605091770278271,0.0,0.0,,0.0,0.44,0.0,0.0002605091770278271,0.0,0.0,,0.0,0.44,0.0
3,0,R3C0,41449,5244,209.76,False,1.0,0.379537314877553,0.25431314048514725,0.7477116704805492,0.2342153993190371,616.72,,0.13433375955994115,0.5440444274224435,0.5463461538461538,0.5417620137299771,0.37366828883335523,208.0,0.16450711254489053,0.11648049410118459,0.5332112704709592,0.5713974275125354,0.4998093058733791,0.3635228848821082,183.48,0.1536739555934062,0.11208955583970663,0.5048365746868955,0.5416211492243828,0.4727307398932113,0.33764641786979027,183.08,0.12529925980934248,0.11208955583970663,0.5048365746868955,0.5416211492243828,0.4727307398932113,0.33764641786979027,183.08,0.12529925980934248
3,1,R3C1,42542,6950,278.0,False,1.0,0.4232575615254556,0.270489835120858,0.9725179856115108,0.2684379840343143,999.52,,0.2759155657938038,0.5479545068748939,0.4515527371071528,0.6966906474820144,0.3773673135375263,428.92,0.12469694534943832,0.23734192092520331,0.5488502250882102,0.4754426644182125,0.6490647482014389,0.3782174897291859,379.52,0.12559266356275467,0.18732076536129003,0.4777960526315789,0.4561633080345459,0.5015827338129496,0.31388438681793623,305.68,0.054538491106123355,0.18732076536129003,0.4777960526315789,0.4561633080345459,0.5015827338129496,0.31388438681793623,305.68,0.054538491106123355
3,2,R3C2,42542,12224,488.96000000000004,False,1.0,0.544284818580814,0.40815241833272004,0.8166721204188482,0.3738951310861423,978.36,,0.38956795637252595,0.5510092744135298,0.526119958327132,0.5783704188481675,0.3802710843373494,537.52,0.006724455832715748,0.3260072399040948,0.5506469578325865,0.5640387749849876,0.5378763089005235,0.37992603721252743,466.28000000000003,0.006362139251772536,0.24712049268957736,0.5293792595321422,0.6055625790139064,0.47022251308900526,0.3599699398797595,379.68,-0.014905559048671857,0.24712049268957736,0.5293792595321422,0.6055625790139064,0.47022251308900526,0.3599699398797595,379.68,-0.014905559048671857
3,3,R3C3,42542,8504,340.16,False,1.0,0.38409894977296155,0.2516701347059468,0.8106773283160865,0.23769954832258733,1095.72,,0.3859715105072634,0.43430237695502344,0.3478414720452937,0.5779633113828786,0.2773858569896721,565.2,0.05020342718206189,0.3540971275445442,0.4364820846905538,0.35785751899495977,0.5593838193791157,0.2791666666666667,531.72,0.05238313491759222,0.1850641718772037,0.3536977491961415,0.40014847809948034,0.31690968955785515,0.21484375,269.4,-0.030401200576820053,0.1850641718772037,0.3536977491961415,0.40014847809948034,0.31690968955785515,0.21484375,269.4,-0.030401200576820053
3,4,R3C4,42542,10028,401.12,False,1.0,0.43175480710942993,0.28523371672059716,0.8878141204627045,0.2753107798874389,1248.52,,0.3471863099995299,0.5736991653347541,0.5170454545454546,0.6442959712804148,0.40222872439768415,499.84000000000003,0.14194435822532414,0.27617413379718864,0.6436909394107838,0.65249462145272,0.6351216593538094,0.4745901639344262,390.44,0.21193613230135389,0.1480184288467867,0.4517734909769757,0.7366403607666291,0.3257877941763063,0.29180064308681675,177.4,0.020018683867545795,0.1480184288467867,0.4517734909769757,0.7366403607666291,0.3257877941763063,0.29180064308681675,177.4,0.020018683867545795
3,5,R3C5,41893,1349,53.96,False,1.0,0.06771501925545571,0.0353896212807353,0.782060785767235,0.035044012622487956,1192.44,,0.039457665958513355,0.03459637561779242,0.03892493049119555,0.031134173461823574,0.01760268231349539,43.160000000000004,-0.03311864363766329,0.007256582245243836,0.05279698302954117,0.17355371900826447,0.031134173461823574,0.02711426726920594,9.68,-0.014918036225914547,0.002816699687298594,0.034383954154727794,0.5106382978723404,0.017790956263899184,0.01749271137026239,1.8800000000000001,-0.03333106510072792,0.002816699687298594,0.034383954154727794,0.5106382978723404,0.017790956263899184,0.01749271137026239,1.8800000000000001,-0.03333106510072792
4,0,R4C0,41860,3174,126.96000000000001,False,1.0,0.27618425679409253,0.1642861411581904,0.8660995589161941,0.1602168084858375,669.32,,0.13865265169612995,0.4651747548403319,0.38702928870292885,0.5828607435412728,0.30307994757536044,191.20000000000002,0.18899049804623935,0.10262780697563306,0.46864975211431903,0.43621064060803477,0.5063011972274732,0.30603694534374404,147.36,0.1924654953202265,0.08306258958432872,0.4492028758987183,0.4457196029776675,0.45274102079395084,0.28965934287442047,128.96,0.1730186191046258,0.08306258958432872,0.4492028758987183,0.4457196029776675,0.45274102079395084,0.28965934287442047,128.96,0.1730186191046258
4,1,R4C1,42542,2955,118.2,False,1.0,0.21642226108794116,0.12474152191894128,0.8165820642978003,0.12134164739012371,773.76,,0.1722062902543369,0.36313386205239123,0.28153530836594,0.511336717428088,0.22184701218616942,214.68,0.14671160096445007,0.12347797470734803,0.35647174309353524,0.3043582375478927,0.43011844331641286,0.21689419795221843,167.04,0.14004948200559408,0.09056931973108928,0.31211303381489125,0.29395933014354064,0.33265651438240273,0.18491346877351392,133.76,0.09569077272695009,0.09056931973108928,0.31211303381489125,0.29395933014354064,0.33265651438240273,0.18491346877351392,133.76,0.09569077272695009
4,2,R4C2,42542,3531,141.24,False,1.0,0.2554504319210202,0.14942971269069732,0.8793542905692439,0.1464277293091252,831.16,,0.24418221992383998,0.35351909883967136,0.25217496375060416,0.5910506938544322,0.2147119341563786,331.04,0.09806866691865118,0.1692210051243477,0.38941711451012817,0.3065907241659886,0.5335598980458793,0.24178644763860369,245.8,0.133966682589108,0.1378637581683983,0.35634435864930275,0.3004275165176836,0.4378363069951855,0.21679988781377085,205.84,0.10089392672828257,0.1378637581683983,0.35634435864930275,0.3004275165176836,0.4378363069951855,0.21679988781377085,205.84,0.10089392672828257
4,3,R4C3,42542,2807,112.28,False,1.0,0.20229514797664586,0.11403668058834211,0.8949055931599572,0.11252967791067509,881.12,,0.2140472944384373,0.28719723183391005,0.20102578714916655,0.5026718916993231,0.16767676767676767,280.76,0.0849020838572642,0.1459968971839594,0.32405891980360063,0.2505841121495327,0.4584966156038475,0.193359375,205.44,0.12176377182695478,0.13304499083258897,0.281734149199323,0.22199425523184244,0.3854649091556822,0.16396423700560692,194.96,0.07943900122267714,0.13304499083258897,0.281734149199323,0.22199425523184244,0.3854649091556822,0.16396423700560692,194.96,0.07943900122267714
4,4,R4C4,42542,3874,154.96,False,1.0,0.2350064720264634,0.13651934163255075,0.8435725348477027,0.13314863102998697,957.52,,0.25485402660899814,0.332796651102882,0.24181094992980814,0.5335570469798657,0.19961371318203766,341.92,0.09779017907641857,0.19519533637346623,0.35119047619047616,0.2744984006978773,0.48735157459989675,0.21299638989169675,275.12,0.11618400416401276,0.16221616285082976,0.3238355588266218,0.27319496185914494,0.39752194114610223,0.19320035127336596,225.48000000000002,0.08882908680015839,0.16221616285082976,0.3238355588266218,0.27319496185914494,0.39752194114610223,0.19320035127336596,225.48000000000002,0.08882908680015839
4,5,R4C5,41559,8224,328.96,False,1.0,0.4012569494802997,0.26696687037632677,0.8073929961089494,0.2509827638342909,994.88,,0.22596790105632955,0.4615086540945492,0.4921487603305785,0.4344601167315175,0.2999748131978843,290.40000000000003,0.0602517046142495,0.20164104044851897,0.4678714859437751,0.5203990470518166,0.42497568093385213,0.3053735255570118,268.64,0.06661453646347537,0.14081185784066028,0.3108428211201956,0.41826033312769895,0.24732490272373542,0.1840224373473265,194.52,-0.0904141283601041,0.14081185784066028,0.3108428211201956,0.41826033312769895,0.24732490272373542,0.1840224373473265,194.52,-0.0904141283601041
5,0,R5C0,39228,3336,133.44,False,1.0,0.3539080459770115,0.21892775881683732,0.9229616306954437,0.21499895258710983,562.5600000000001,,0.17217293769756298,0.5059617547806524,0.4049333813467771,0.6741606714628298,0.3386538171962054,222.16,0.15205370880364094,0.13199755276843073,0.49948480164863474,0.4378952122854562,0.5812350119904077,0.3328755364806867,177.12,0.14557675567162326,0.11030386458651983,0.4028717382300152,0.37343230099820834,0.43735011990407674,0.2522475795297372,156.28,0.04896369225300373,0.11030386458651983,0.4028717382300152,0.37343230099820834,0.43735011990407674,0.2522475795297372,156.28,0.04896369225300373
5,1,R5C1,40161,3779,151.16,False,1.0,0.3635033444816054,0.22647652536302662,0.9203492987562847,0.22212287648486398,614.28,,0.17312815915938348,0.5409162717219589,0.44926522043386985,0.6795448531357502,0.3707232568211347,228.64000000000001,0.1774129272403535,0.11941933716789921,0.5508100147275405,0.5136186770428015,0.5938078856840434,0.3800813008130081,174.76,0.18730667024593517,0.10156619606085505,0.5048032635873141,0.5020942408376964,0.5075416776925112,0.3376166167928182,152.8,0.14129991910570872,0.10156619606085505,0.5048032635873141,0.5020942408376964,0.5075416776925112,0.3376166167928182,152.8,0.14129991910570872
